sex,country,year,suicide,population,total_gdp,suicides_per_100k,gdp_per_capita
female,Austria,1990,541.0,3785073.0,998780319978.0,14.29298721583441,263873.46293664613
female,Austria,1991,470.0,3812047.0,1042765066350.0,12.329333819861088,273544.6510365691
female,Austria,1992,477.0,3844533.0,1170468758076.0,12.407228654299495,304450.17849398096
female,Austria,1993,460.0,3868844.0,1142278325562.0,11.889856504940495,295250.5517312148
female,Austria,1994,491.0,3879372.0,1221211456452.0,12.65668773193187,314796.1722804619
female,Austria,1995,455.0,3884513.0,1446229698378.0,11.713180004803691,372306.56671196624
female,Austria,1996,443.0,3891584.0,1423505692746.0,11.38353945334342,365790.817504132
female,Austria,1997,417.0,3899564.0,1276742090430.0,10.693503171123746,327406.3691299848
female,Austria,1998,382.0,3908154.0,1309559426412.0,9.774435705450706,335083.8852337958
female,Austria,1999,429.0,3919903.0,1303114724058.0,10.944148362854898,332435.451606328
female,Austria,2000,432.0,3932182.0,1180798673298.0,10.986266658053976,300290.9512575969
female,Austria,2001,408.0,3949662.0,1184027275170.0,10.329997858044562,299779.392558148
female,Austria,2002,363.0,3968970.0,1280266629024.0,9.14594970483526,322568.9861661842
female,Austria,2003,388.0,3985088.0,1570174672686.0,9.736296914898743,394012.5469465166
female,Austria,2004,346.0,4008915.0,1805425329030.0,8.630764184324187,450352.6088804577
female,Austria,2005,350.0,4032829.0,1895846511630.0,8.678771155434559,470103.3720075907
female,Austria,2006,297.0,4051115.0,2015991343620.0,7.331314958968086,497638.63618287805
female,Austria,2007,317.0,4064372.0,2332148672322.0,7.799482921346766,573802.9570920181
female,Austria,2008,304.0,4077800.0,2581765724328.0,7.455000245230271,633127.1088155378
female,Austria,2009,306.0,4087694.0,2401033787166.0,7.485883238813865,587380.9994500567
female,Austria,2010,294.0,4097737.0,2351356479270.0,7.1746917871986415,573818.3000202307
female,Austria,2011,313.0,4109664.0,2586721860534.0,7.616194413947223,629424.1720330421
female,Austria,2012,289.0,4124932.0,2456551404930.0,7.006176101812103,595537.4306606752
female,Austria,2013,324.0,4145640.0,2580412277832.0,7.815439835586302,622440.0280371668
female,Austria,2014,324.0,4172127.0,2651312494836.0,7.765823044217014,635482.2120314171
female,Austria,2015,290.0,4201798.0,2292395581848.0,6.901807273933682,545574.9138459298
female,Austria,2016,295.0,3834844.0,1953999955735.0,7.6926206124681995,509538.3164830173
female,Belarus,1985,435.0,5034600.0,129900000000.0,8.640209748540101,25801.453938743893
female,Belarus,1986,435.0,5034600.0,129900000000.0,8.640209748540101,25801.453938743893
female,Belarus,1987,435.0,5034600.0,129900000000.0,8.640209748540101,25801.453938743893
female,Belarus,1988,435.0,5034600.0,129900000000.0,8.640209748540101,25801.453938743893
female,Belarus,1989,435.0,5034600.0,129900000000.0,8.640209748540101,25801.453938743893
female,Belarus,1990,435.0,5034600.0,129900000000.0,8.640209748540101,25801.453938743893
female,Belarus,1991,442.0,5063500.0,108000000000.0,8.729139922978177,21329.12017379283
female,Belarus,1992,470.0,5107800.0,102222222222.0,9.201613218998395,20012.964920709503
female,Belarus,1993,525.0,5140900.0,97685950416.0,10.212219650255792,19001.72156937501
female,Belarus,1994,571.0,5161300.0,89592145014.0,11.06310425667952,17358.445549377095
female,Belarus,1995,514.0,5184900.0,83836061046.0,9.913402379988042,16169.272511716716
female,Belarus,1996,546.0,5189900.0,88541076924.0,10.520433919728704,17060.266464479086
female,Belarus,1997,562.0,5193600.0,84770451396.0,10.821010474430068,16322.098620609982
female,Belarus,1998,550.0,5196100.0,91332075960.0,10.584861723215488,17577.043544196607
female,Belarus,1999,529.0,5094300.0,72830919192.0,10.384154839722827,14296.550888640246
female,Belarus,2000,505.0,5085317.0,76421140968.0,9.930551035461507,15027.802783582616
female,Belarus,2001,490.0,5071494.0,74128920864.0,9.661847179549065,14616.78173413988
female,Belarus,2002,511.0,5051565.0,87565494138.0,10.115677022863212,17334.32988351135
female,Belarus,2003,540.0,5030001.0,106966747926.0,10.735584346802318,21265.75082708731
female,Belarus,2004,519.0,5010347.0,148141160665.5,10.358563987683887,29567.046087925646
female,Belarus,2005,498.0,4990693.0,189315573405.0,9.97857411786299,37933.72451581374
