,year,country,gdp_per_capita,suicides_per_100k,unemployment_rate
103,1997,Belgium,26609.0,22.409670284411717,8.96
104,1997,Finland,26296.0,27.409188920218945,14.97
105,1997,Germany,28420.0,15.699154197820102,9.86
106,1997,Greece,13968.0,3.649205575751946,9.58
107,1997,Hungary,4856.0,32.943850349479,8.99
108,1997,Iceland,30326.0,13.256792097345029,3.72
109,1997,Italy,22869.0,8.66347737253453,12.0
110,1997,Luxembourg,50260.0,20.631686194600103,2.53
111,1997,Malta,10575.0,4.280821917808219,6.26
112,1997,Netherlands,28156.0,10.737778263512729,5.51
113,1997,Norway,39335.0,12.993344872138662,4.69
114,1997,Romania,1677.0,13.379194159764143,5.51
115,1997,Russian Federation,2907.0,39.30553002802922,11.81
116,1997,Spain,15738.0,9.017511027937442,20.7
117,1997,Sweden,31821.0,14.450206345577708,10.36
118,1997,United Kingdom,28091.0,7.496385477422319,7.07
119,1998,Austria,28972.0,20.694180236354352,5.52
120,1998,Belgium,27087.0,20.98535110238575,9.32
121,1998,Finland,27646.0,25.347427989463892,13.21
122,1998,Germany,28733.0,14.927418724726564,9.79
123,1998,Greece,14008.0,3.908587545086964,10.84
124,1998,Hungary,5010.0,33.335480364272044,8.93
125,1998,Iceland,33513.0,11.892821889135114,3.07
126,1998,Italy,23342.0,8.30221355003831,12.12
127,1998,Luxembourg,50788.0,16.0838370003644,2.76
128,1998,Malta,11103.0,3.395585738539898,6.28
129,1998,Netherlands,29351.0,10.309068451128637,4.39
130,1998,Norway,37334.0,13.27069307889766,3.74
131,1998,Romania,1967.0,13.29996625801372,5.63
132,1998,Russian Federation,1948.0,37.030780875216806,13.26
133,1998,Spain,16473.0,8.705541273235466,18.67
134,1998,Sweden,31966.0,14.749050477457075,8.94
135,1998,United Kingdom,29508.0,7.904208840831474,6.2
136,1999,Austria,28722.0,20.56440633203859,4.7
137,1999,Belgium,26969.0,19.246959845783863,8.65
138,1999,Finland,27800.0,24.813666224324177,11.69
139,1999,Germany,28154.0,14.281838517964914,8.86
140,1999,Greece,13756.0,3.6767675480968967,11.85
141,1999,Hungary,5147.0,34.816054828063535,6.93
142,1999,Iceland,34858.0,12.11789539519975,2.18
143,1999,Italy,23002.0,7.58098756115614,11.69
144,1999,Luxembourg,55054.0,17.331451632870337,2.39
145,1999,Malta,11607.0,7.592800899887514,6.3
146,1999,Netherlands,29799.0,10.241370010787486,3.62
147,1999,Norway,39013.0,14.015282186768662,3.25
148,1999,Romania,1698.0,12.83856072977082,6.24
149,1999,Russian Federation,1412.0,41.07187397724013,13.04
150,1999,Spain,16756.0,8.52093706703154,15.48
151,1999,Sweden,32328.0,14.56192536344835,7.61
152,1999,United Kingdom,29832.0,7.966566355632072,6.04
153,2000,Austria,25922.0,20.91655335769295,4.69
154,2000,Belgium,24592.0,22.152103183524957,6.59
155,2000,Finland,25716.0,23.86405070240197,11.13
156,2000,Germany,24922.0,14.152233659065187,7.92
157,2000,Greece,12509.0,3.671996861692316,11.25
158,2000,Hungary,4966.0,34.31288268730856,6.56
159,2000,Iceland,34372.0,19.251279247505995,1.94
